Time,ETH number of daily active addresses,Price
2017-04-16,26911,48.78649902
2017-04-17,30771,48.3175087
2017-04-18,34259,50.59074783
2017-04-19,36749,50.81941223
2017-04-20,39400,48.48793793
2017-04-21,35849,49.44398117
2017-04-22,34997,48.68815231
2017-04-23,32336,48.38895798
2017-04-24,35690,50.10398102
2017-04-25,37334,49.86474609
2017-04-26,44575,52.44770432
2017-04-27,50116,58.58997726
2017-04-28,45901,64.29021454
2017-04-29,42442,69.83218384
2017-04-30,40106,71.76806641
2017-05-01,49913,81.4564209
2017-05-02,53630,79.35325623
2017-05-03,43054,80.05103302
2017-05-04,51650,89.99662781
2017-05-05,55686,102.02135468
2017-05-06,45944,95.64967346
2017-05-07,51980,96.7640152
2017-05-08,57213,92.77739716
2017-05-09,60404,89.14603424
2017-05-10,59706,92.84693909
2017-05-11,58431,90.46638489
2017-05-12,56299,90.53853607
2017-05-13,48326,88.63881683
2017-05-14,50024,90.67169189
2017-05-15,58526,91.23472595
2017-05-16,61820,92.90254211
2017-05-17,65640,90.16207123
2017-05-18,69891,90.5670166
2017-05-19,78885,117.65478516
2017-05-20,75383,131.99972534
2017-05-21,66224,128.32850647
2017-05-22,84360,186.88729858
2017-05-23,101134,178.03849792
2017-05-24,100744,193.230896
2017-05-25,103074,200.00494385
2017-05-26,92181,182.08970642
2017-05-27,83816,156.48373413
2017-05-28,79540,171.49882507
2017-05-29,77667,183.16256714
2017-05-30,100482,202.60342407
2017-05-31,115474,230.24880981
2017-06-01,119477,222.89427185
2017-06-02,101466,222.15283203
2017-06-03,98593,220.25239563
2017-06-04,98069,232.76301575
2017-06-05,103779,246.78031921
2017-06-06,110004,256.10177612
2017-06-07,112641,260.0604248
2017-06-08,107274,257.56234741
2017-06-09,109333,273.81515503
2017-06-10,111509,311.22879028
2017-06-11,133374,341.41125488
2017-06-12,158514,348.29885864
2017-06-13,160858,398.08557129
2017-06-14,145616,376.99716187
2017-06-15,144844,355.40454102
2017-06-16,140645,350.64282227
2017-06-17,125896,366.66964722
2017-06-18,134561,376.94723511
2017-06-19,146340,372.66906738
2017-06-20,180962,377.61639404
2017-06-21,127579,337.51074219
2017-06-22,164736,338.32897949
2017-06-23,170582,341.11270142
2017-06-24,148517,342.61224365
2017-06-25,141397,320.02047729
2017-06-26,159379,309.31256104
2017-06-27,164009,271.87319946
2017-06-28,150160,305.0274353
2017-06-29,159600,326.67578125
2017-06-30,150150,305.8001709
2017-07-01,133881,282.76315308
2017-07-02,129975,272.48422241
2017-07-03,159954,288.73574829
2017-07-04,159758,284.26412964
2017-07-05,151851,273.55728149
2017-07-06,143606,270.89187622
2017-07-07,153742,267.5269165
2017-07-08,135838,244.48466492
2017-07-09,133800,244.90852356
2017-07-10,130012,220.69154358
2017-07-11,159232,197.28175354
2017-07-12,137649,195.09162903
2017-07-13,150646,229.23893738
2017-07-14,125960,192.40531921
2017-07-15,126805,177.26097107
2017-07-16,119207,152.5894928
2017-07-17,132774,165.92953491
2017-07-18,133264,185.05493164
2017-07-19,158488,227.34802246
2017-07-20,147668,215.48780823
2017-07-21,137438,226.48606873
2017-07-22,118815,222.48902893
2017-07-23,136442,229.30355835
2017-07-24,143142,225.04364014
2017-07-25,132333,207.49874878
2017-07-26,127198,202.01931763
2017-07-27,130051,204.34919739
2017-07-28,126491,203.32189941
2017-07-29,110485,184.85980225
2017-07-30,111461,200.7035675
2017-07-31,146820,198.70417786
2017-08-01,130068,212.01089478
2017-08-02,129356,226.93367004
2017-08-03,128255,226.17558289
2017-08-04,144225,223.84744263
2017-08-05,127857,241.99623108
2017-08-06,136512,258.18136597
2017-08-07,148897,264.40625
2017-08-08,171131,271.21444702
2017-08-09,161654,318.71627808
2017-08-10,165041,305.47634888
2017-08-11,175247,298.42956543
2017-08-12,182456,312.16744995
2017-08-13,168990,301.66647339
2017-08-14,206867,302.30514526
2017-08-15,233254,285.17263794
2017-08-16,199059,290.7510376
2017-08-17,209385,304.14562988
2017-08-18,221747,300.87255859
2017-08-19,201861,292.3447876
2017-08-20,189901,294.63638306
2017-08-21,197855,301.27523804
2017-08-22,205188,309.95062256
2017-08-23,202926,319.51849365
2017-08-24,193196,318.86367798
2017-08-25,186652,334.72201538
2017-08-26,151021,330.87490845
2017-08-27,157442,334.78726196
2017-08-28,179310,343.97930908
2017-08-29,198452,349.96069336
2017-08-30,209747,376.90368652
