Time,ETH mining difficulty,Price
2017-04-13,2.5638672310575056E14,48.4173317
2017-04-14,2.6442989655492656E14,48.83977509
2017-04-15,2.757781071115457E14,47.44621277
2017-04-16,2.7104042376352712E14,48.78649902
2017-04-17,2.735839926814392E14,48.3175087
2017-04-18,2.7891203894951956E14,50.59074783
2017-04-19,2.921394708767505E14,50.81941223
2017-04-20,2.82327972845863E14,48.48793793
2017-04-21,2.875896411850877E14,49.44398117
2017-04-22,2.9673792985862656E14,48.68815231
2017-04-23,2.980426361533206E14,48.38895798
2017-04-24,2.97433421272469E14,50.10398102
2017-04-25,2.9447623039200625E14,49.86474609
2017-04-26,3.06536750385447E14,52.44770432
