Time,ETH Gas price,Price
2018-05-31,2.3486011234448777E-8,577.21264648
2018-06-01,2.2767231836831874E-8,574.48913574
2018-06-02,1.5922694155635407E-8,578.54296875
2018-06-03,1.4631555199738196E-8,594.17651367
2018-06-04,1.6050640834542656E-8,619.347229
2018-06-05,1.6044921233708047E-8,594.77947998
2018-06-06,1.531512065121012E-8,611.47528076
2018-06-07,1.9792768448773864E-8,607.6987915
2018-06-08,1.4305714962598035E-8,605.52856445
2018-06-09,1.131964582613745E-8,607.050354
2018-06-10,1.0615771762926307E-8,569.99615479
2018-06-11,1.1532638530848844E-8,534.60144043
2018-06-12,1.0839879604656007E-8,529.2253418
2018-06-13,1.1807106485340062E-8,466.81652832
2018-06-14,1.336429925096976E-8,488.07028198
2018-06-15,1.6453666047641572E-8,505.40997314
2018-06-16,1.6027668184123826E-8,494.14157104
2018-06-17,7.861140519829639E-9,502.80886841
2018-06-18,7.89876195098704E-9,497.6065979
2018-06-19,9.985760282618145E-9,516.79144287
2018-06-20,1.1122993517919256E-8,521.35968018
2018-06-21,9.68495033587837E-9,542.37335205
2018-06-22,2.136870385641028E-8,473.28866577
2018-06-23,9.654590722648513E-9,469.70175171
2018-06-24,9.624444689979683E-9,426.46948242
2018-06-25,1.6471791938574924E-8,465.23287964
2018-06-26,1.0405632973480472E-8,458.76348877
2018-06-27,9.86360897358326E-9,434.13684082
2018-06-28,9.015443940186245E-9,433.66781616
2018-06-29,9.653710626834039E-9,422.68499756
2018-06-30,3.684061490150849E-8,448.35598755
2018-07-01,7.020180379437553E-8,451.76501465
2018-07-02,1.188260599090281E-7,475.32598877
2018-07-03,9.810845182222562E-8,470.97000122
2018-07-04,7.240798652437808E-8,474.20401001
2018-07-05,5.4346840226573484E-8,477.81698608
2018-07-06,7.556698840958196E-8,471.25900269
2018-07-07,6.96913020161786E-8,471.04098511
2018-07-08,4.6716062167111705E-8,492.42800903
2018-07-09,2.4644235876685907E-8,484.17700195
2018-07-10,2.201744257046739E-8,441.7869873
2018-07-11,1.4328422675593335E-8,444.51901245
2018-07-12,3.0037870993992044E-8,431.26300049
2018-07-13,2.8891885611206833E-8,440.19000244
2018-07-14,6.185689127639816E-8,437.56298828
2018-07-15,8.583683291751582E-8,452.46899414
2018-07-16,2.093084258458982E-8,449.3789978
2018-07-17,1.228321316694361E-8,473.6960144
2018-07-18,1.1329457399849306E-8,493.13500977
2018-07-19,1.0787007304455913E-8,476.35198975
2018-07-20,1.0221689187195526E-8,459.51400757
2018-07-21,1.5304025679210125E-8,455.70498657
2018-07-22,9.380342315815566E-9,468.82400513
2018-07-23,1.2218228967965388E-8,463.58099365
2018-07-24,1.057043227036952E-8,453.04299927
2018-07-25,1.1789262043504393E-8,466.80200195
