Time,ETH market cap,Price
2019-05-30,3.0414356198233444E10,286.16032829
2019-05-31,2.705883705487341E10,254.55683686
2019-06-01,2.8692814326851933E10,269.89409866
2019-06-02,2.8281849751945045E10,265.99425257
2019-06-03,2.8677324167861164E10,269.67947635
2019-06-04,2.6537740449795727E10,249.52699362
2019-06-05,2.561536516414825E10,240.82336916
2019-06-06,2.589930734775658E10,243.46136036
2019-06-07,2.660560143761271E10,250.06909752
2019-06-08,2.654828013219397E10,249.49875328
2019-06-09,2.5887203002737198E10,243.25500568
2019-06-10,2.5026340271364902E10,235.13546214
2019-06-11,2.563793552899406E10,240.85089069
2019-06-12,2.64683360676865E10,248.62021604
2019-06-13,2.770716656273755E10,260.22363801
2019-06-14,2.7502975553007294E10,258.27281611
2019-06-15,2.8235581663172527E10,265.11867876
2019-06-16,2.9066376642348347E10,272.88462185
2019-06-17,2.8810729667213997E10,270.44971705
2019-06-18,2.8465262559987648E10,267.17305217
2019-06-19,2.845039114283713E10,266.99919451
2019-06-20,2.878074796539132E10,270.06514542
2019-06-21,2.981630070074248E10,279.74676755
2019-06-22,3.2483227221910225E10,304.72963984
2019-06-23,3.3197690894071243E10,311.39248258
2019-06-24,3.2840348168800423E10,308.00093794
2019-06-25,3.3196501532570133E10,311.30134191
2019-06-26,3.528619437042825E10,330.85495854
2019-06-27,3.277936098261817E10,307.31087852
2019-06-28,3.2777887737718006E10,307.25835227
2019-06-29,3.1743268190754684E10,297.52159415
2019-06-30,3.1731615774436047E10,297.37414316
2019-07-01,3.1993543944708122E10,299.79081422
2019-07-02,3.0777088641450157E10,288.35521984
2019-07-03,3.158952464435542E10,295.92959599
2019-07-04,3.1565779808085464E10,295.66938295
2019-07-05,3.051932828240522E10,285.83090685
2019-07-06,3.1522588975875603E10,295.18927348
2019-07-07,3.0847770675960396E10,288.83300191
2019-07-08,3.2605202606105644E10,305.24923115
2019-07-09,3.3765476542685577E10,316.07101752
2019-07-10,3.318326354811379E10,310.58157195
2019-07-11,3.0346799344103058E10,283.99714584
2019-07-12,2.9155402501630306E10,272.81284205
2019-07-13,2.923372696561006E10,273.51096041
2019-07-14,2.513765655894489E10,235.1578918
2019-07-15,2.463037489845962E10,230.38300709
