Time,LTC total addresses,Price
2014-06-08,4484123,11.10968208
2014-06-09,4488921,11.26592731
2014-06-10,4494031,11.21110153
2014-06-11,4498553,11.10305595
2014-06-12,4504441,10.93151665
2014-06-13,4509141,10.16253757
2014-06-14,4513755,10.25964069
2014-06-15,4518200,9.87468529
2014-06-16,4522986,9.96162224
2014-06-17,4527339,9.68344879
2014-06-18,4532148,9.67410469
2014-06-19,4536874,9.67678356
2014-06-20,4541668,9.99636745
2014-06-21,4545914,9.84114361
2014-06-22,4549812,9.84951878
2014-06-23,4554162,9.76990128
2014-06-24,4559009,9.72811222
2014-06-25,4563702,9.61211014
2014-06-26,4568083,9.20060062
2014-06-27,4572773,9.09437656
2014-06-28,4576646,9.24751759
2014-06-29,4580533,9.19578648
2014-06-30,4585855,8.97191238
2014-07-01,4590940,8.96225739
2014-07-02,4596909,7.98479033
2014-07-03,4601576,8.06755924
2014-07-04,4605794,8.03005886
2014-07-05,4610578,7.32218647
2014-07-06,4615050,7.30489874
2014-07-07,4619936,7.09888697
2014-07-08,4624625,7.73099422
2014-07-09,4628930,7.79258966
2014-07-10,4633245,7.79260349
2014-07-11,4637665,7.85397196
2014-07-12,4642058,8.61945248
2014-07-13,4647075,8.89791203
2014-07-14,4652284,8.619771
2014-07-15,4656789,8.55823517
2014-07-16,4662054,8.3152914
2014-07-17,4668191,8.65816498
2014-07-18,4675067,8.72484589
2014-07-19,4681661,8.60983753
2014-07-20,4690096,8.46209431
