Time,BTC full node data size,Price
2011-05-04,147.036903,3.4060900000000003
2011-05-05,148.286049,3.333
2011-05-06,149.708175,3.452
2011-05-07,151.137946,3.641
2011-05-08,152.208316,3.86585
2011-05-09,153.687006,3.8
2011-05-10,155.068418,5.805
2011-05-11,156.619427,5.5
2011-05-12,157.766372,6.363463333333333
2011-05-13,159.741451,8.193999999999999
2011-05-14,161.520725,7.026584285714287
2011-05-15,163.400126,6.988455
2011-05-16,165.23321,8.0
2011-05-17,167.180786,7.20995
2011-05-18,169.2901,6.8849912500000015
2011-05-19,171.412523,6.88955
2011-05-20,173.416649,5.5903616666666665
2011-05-21,175.470502,6.132744285714287
2011-05-22,177.555065,6.736269999999999
2011-05-23,179.894887,7.106383999999999
2011-05-24,182.035079,7.42
2011-05-25,184.579988,8.409413571428571
2011-05-26,187.440157,8.77355
2011-05-27,189.70631,8.5002
2011-05-28,191.583927,8.3001
2011-05-29,193.557354,8.4299
2011-05-30,195.459575,8.800025000000002
2011-05-31,198.050077,8.715455
2011-06-01,200.543134,9.607497500000001
2011-06-02,203.576151,10.643019999999998
2011-06-03,207.452644,14.317785714285714
2011-06-04,211.331991,18.64759333333334
2011-06-05,214.648517,16.675
2011-06-06,218.494242,18.37141428571429
2011-06-07,222.286782,23.396988372093016
2011-06-08,226.795688,29.64085384615385
2011-06-09,232.822605,28.9407
2011-06-10,237.602338,23.86174117647059
2011-06-11,242.098811,14.651199999999998
2011-06-12,246.819431,18.71959
2011-06-13,252.290106,19.409272222222214
2011-06-14,257.371606,19.32056428571429
2011-06-15,263.193353,19.49
2011-06-16,268.24702,17.363817999999995
2011-06-17,273.378091,15.834064285714286
2011-06-18,278.312429,16.876666666666665
2011-06-19,283.136581,17.405467272497287
2011-06-20,287.863167,17.4795582704942
2011-06-21,291.628769,17.850482972780885
2011-06-22,296.08037,17.906287114865226
2011-06-23,300.162048,18.16839759701135
2011-06-24,304.665609,18.585396059959713
2011-06-25,308.458806,17.943275642315022
2011-06-26,312.598277,16.366438571428574
2011-06-27,318.000053,16.750066666666665
2011-06-28,322.659753,16.943002500000002
