Time,BTC average daily block size,Price
2010-05-27,376.46031746031747,null
2010-05-28,288.6981132075472,null
2010-05-29,332.55399061032864,null
2010-05-30,345.7748344370861,null
2010-05-31,286.38028169014086,null
2010-06-01,347.6737588652482,null
2010-06-02,329.8646616541353,null
2010-06-03,373.9673202614379,null
2010-06-04,377.1811594202899,null
2010-06-05,298.1231884057971,null
2010-06-06,315.9013157894737,null
2010-06-07,421.6241610738255,null
2010-06-08,418.8789808917197,null
2010-06-09,317.40236686390534,null
2010-06-10,339.35403726708074,null
2010-06-11,351.35714285714283,null
2010-06-12,403.9148936170213,null
2010-06-13,335.68125,null
2010-06-14,470.3918918918919,null
2010-06-15,366.66331658291455,null
2010-06-16,342.47402597402595,null
2010-06-17,394.7410071942446,null
2010-06-18,312.9448275862069,null
2010-06-19,433.9156626506024,null
2010-06-20,334.4268292682927,null
2010-06-21,365.780487804878,null
2010-06-22,401.85350318471336,null
2010-06-23,334.0982658959538,null
2010-06-24,388.7988505747126,null
2010-06-25,340.169696969697,null
2010-06-26,278.5625,null
2010-06-27,325.7643312101911,null
2010-06-28,317.76100628930817,null
2010-06-29,452.0181818181818,null
2010-06-30,647.1149425287356,null
2010-07-01,793.1084905660377,null
2010-07-02,374.90909090909093,null
2010-07-03,657.703125,null
2010-07-04,324.13903743315507,null
2010-07-05,480.70348837209303,null
2010-07-06,340.47727272727275,null
2010-07-07,428.06493506493507,null
2010-07-08,339.0066225165563,null
2010-07-09,320.96875,null
2010-07-10,343.4739583333333,null
2010-07-11,354.06111111111113,null
2010-07-12,917.6447963800905,null
2010-07-13,623.3500643500644,null
2010-07-14,1217.0757314974182,null
2010-07-15,2247.0661290322582,null
2010-07-16,684.0368,null
2010-07-17,821.704081632653,0.049510000000000005
2010-07-18,786.1551724137931,0.08584
2010-07-19,950.1333333333333,0.0808
2010-07-20,1097.0218579234972,0.07473333333333332
2010-07-21,634.9556650246305,0.07921
2010-07-22,611.3555555555556,0.055945
2010-07-23,517.5561224489796,0.062283333333333336
2010-07-24,599.6857142857143,0.05454
2010-07-25,4206.829493087557,0.0505
2010-07-26,519.3065134099617,0.056
